report_id,report_reason,report_description,report_date,admin_decision,decision_date,customer_id,review_id
374,Spam,Automatically generated report description,2024-01-27,Approved,2025-03-07,257,9857
375,Spam,Automatically generated report description,2024-01-25,Approved,2025-02-12,129,9203
376,Spam,Automatically generated report description,2024-05-11,,,53,13435
377,Spam,Automatically generated report description,2024-09-15,Rejected,2025-03-02,89,8415
378,Offensive language,Automatically generated report description,2024-03-22,,,66,8074
379,Spam,Automatically generated report description,2024-04-08,,,292,4539
380,Harassment,Automatically generated report description,2024-04-18,Approved,2025-02-09,133,1301
381,Harassment,Automatically generated report description,2024-01-05,,,256,6054
382,Offensive language,Automatically generated report description,2024-07-21,Rejected,2025-02-18,171,17071
383,Irrelevant content,Automatically generated report description,2024-08-07,Approved,2025-03-27,240,10887
384,Irrelevant content,Automatically generated report description,2024-10-09,,,258,6190
385,Misleading information,Automatically generated report description,2024-05-28,Rejected,2025-03-21,427,4836
386,Spam,Automatically generated report description,2024-02-18,Approved,2025-01-09,139,4309
387,Offensive language,Automatically generated report description,2024-12-11,,,479,4809
388,Harassment,Automatically generated report description,2024-08-30,Rejected,2025-03-11,54,19372
389,Spam,Automatically generated report description,2025-02-28,,,103,19004
390,Spam,Automatically generated report description,2024-01-05,Approved,2025-01-07,244,9011
391,Offensive language,Automatically generated report description,2024-07-07,Approved,2025-03-10,89,16915
392,Irrelevant content,Automatically generated report description,2024-12-04,Rejected,2025-01-23,128,16025
393,Irrelevant content,Automatically generated report description,2024-07-14,Rejected,2025-03-27,243,14482
394,Offensive language,Automatically generated report description,2025-01-08,Rejected,2025-03-08,500,7024
395,Irrelevant content,Automatically generated report description,2024-06-05,,,46,5802
396,Irrelevant content,Automatically generated report description,2024-04-11,Approved,2025-01-25,419,8239
397,Harassment,Automatically generated report description,2024-05-03,Rejected,2025-01-18,49,11791
398,Harassment,Automatically generated report description,2024-01-08,,,285,11744
399,Misleading information,Automatically generated report description,2024-11-24,,,282,10166
400,Harassment,Automatically generated report description,2024-05-04,Rejected,2025-01-15,281,15655
401,Offensive language,Automatically generated report description,2024-07-08,Rejected,2025-01-14,65,13694
402,Offensive language,Automatically generated report description,2024-10-07,Approved,2025-02-25,360,13395
403,Misleading information,Automatically generated report description,2024-02-01,Rejected,2025-01-26,17,17314
404,Spam,Automatically generated report description,2025-01-29,Approved,2025-02-28,450,12984
405,Harassment,Automatically generated report description,2024-01-06,Approved,2025-02-16,415,18443
406,Spam,Automatically generated report description,2024-12-08,Rejected,2025-03-30,234,16802
407,Offensive language,Automatically generated report description,2024-03-14,Approved,2025-02-02,88,3042
408,Misleading information,Automatically generated report description,2024-12-29,Rejected,2025-01-28,90,16371
409,Offensive language,Automatically generated report description,2024-06-16,Approved,2025-02-08,490,13436
410,Offensive language,Automatically generated report description,2024-12-02,,,130,10429
411,Misleading information,Automatically generated report description,2024-11-05,,,349,5691
412,Spam,Automatically generated report description,2024-12-28,,,417,19018
413,Irrelevant content,Automatically generated report description,2025-01-09,Approved,2025-01-22,361,12551
414,Misleading information,Automatically generated report description,2025-01-11,Rejected,2025-02-01,231,1100
415,Spam,Automatically generated report description,2024-04-26,,,494,19975
416,Spam,Automatically generated report description,2024-04-24,Rejected,2025-01-15,272,2397
417,Spam,Automatically generated report description,2025-01-27,Approved,2025-02-11,373,8135
418,Misleading information,Automatically generated report description,2024-01-18,Approved,2025-01-23,23,6818
419,Harassment,Automatically generated report description,2024-10-26,Rejected,2025-01-24,466,19
420,Misleading information,Automatically generated report description,2024-01-14,Approved,2025-01-30,169,13669
421,Misleading information,Automatically generated report description,2025-02-03,Approved,2025-02-13,99,17826
422,Harassment,Automatically generated report description,2024-09-06,Approved,2025-03-12,42,429
423,Harassment,Automatically generated report description,2024-02-10,Rejected,2025-02-10,497,19972
424,Spam,Automatically generated report description,2024-06-26,Approved,2025-01-18,85,5913
425,Irrelevant content,Automatically generated report description,2024-10-08,Rejected,2025-02-09,438,161
426,Spam,Automatically generated report description,2024-06-24,Rejected,2025-01-15,113,12565
427,Misleading information,Automatically generated report description,2024-05-14,Rejected,2025-02-18,299,3101
428,Spam,Automatically generated report description,2024-06-20,Rejected,2025-03-22,433,7185
429,Misleading information,Automatically generated report description,2024-05-02,,,360,9471
430,Offensive language,Automatically generated report description,2024-10-27,Approved,2025-03-07,139,12410
431,Harassment,Automatically generated report description,2024-02-14,Rejected,2025-01-18,181,4734
432,Irrelevant content,Automatically generated report description,2024-04-07,Rejected,2025-02-26,158,10131
433,Misleading information,Automatically generated report description,2024-04-30,Approved,2025-01-08,251,13988
434,Offensive language,Automatically generated report description,2024-08-12,Approved,2025-02-03,36,16000
435,Misleading information,Automatically generated report description,2024-01-01,Approved,2025-01-31,52,1090
436,Harassment,Automatically generated report description,2024-01-31,,,124,5698
437,Misleading information,Automatically generated report description,2024-05-05,Approved,2025-01-24,229,2200
438,Offensive language,Automatically generated report description,2024-04-22,Approved,2025-02-09,436,3103
439,Spam,Automatically generated report description,2024-12-18,Approved,2025-01-11,380,6662
440,Spam,Automatically generated report description,2024-09-16,Rejected,2025-01-24,342,7099
441,Harassment,Automatically generated report description,2024-12-02,Approved,2025-02-15,377,8026
442,Harassment,Automatically generated report description,2025-02-04,Rejected,2025-03-21,485,8910
443,Spam,Automatically generated report description,2024-05-27,,,291,1426
444,Irrelevant content,Automatically generated report description,2024-12-06,Approved,2025-01-20,377,18061
445,Harassment,Automatically generated report description,2024-06-18,,,270,1780
446,Harassment,Automatically generated report description,2024-10-29,Approved,2025-01-15,300,10055
447,Misleading information,Automatically generated report description,2024-07-17,,,266,18515
448,Harassment,Automatically generated report description,2024-10-17,Approved,2025-02-09,104,6380
449,Spam,Automatically generated report description,2024-02-06,Approved,2025-02-10,154,8573
450,Spam,Automatically generated report description,2024-12-27,Approved,2025-02-20,331,764
451,Harassment,Automatically generated report description,2024-06-06,,,359,10520
452,Harassment,Automatically generated report description,2025-01-28,,,282,14850
453,Spam,Automatically generated report description,2024-02-05,,,132,3989
454,Harassment,Automatically generated report description,2024-03-06,Approved,2025-02-27,158,18091
455,Harassment,Automatically generated report description,2024-08-17,Approved,2025-03-28,35,8322
456,Offensive language,Automatically generated report description,2024-01-16,Rejected,2025-02-25,14,11233
457,Spam,Automatically generated report description,2024-04-18,Rejected,2025-02-25,108,3164
458,Offensive language,Automatically generated report description,2024-03-05,,,312,8867
459,Misleading information,Automatically generated report description,2024-09-02,Rejected,2025-02-25,386,1646
460,Misleading information,Automatically generated report description,2024-03-30,Rejected,2025-02-02,394,14842
461,Spam,Automatically generated report description,2024-10-17,,,2,17221
462,Irrelevant content,Automatically generated report description,2024-02-16,Approved,2025-01-23,276,16379
463,Irrelevant content,Automatically generated report description,2024-09-01,Approved,2025-01-17,413,11950
464,Misleading information,Automatically generated report description,2024-11-28,Approved,2025-01-22,396,18444
465,Misleading information,Automatically generated report description,2024-12-25,,,495,65
466,Spam,Automatically generated report description,2024-06-21,,,490,17859
467,Spam,Automatically generated report description,2024-02-19,Rejected,2025-03-06,75,5326
468,Misleading information,Automatically generated report description,2024-09-25,,,392,8162
469,Harassment,Automatically generated report description,2024-04-29,Approved,2025-03-07,294,9293
470,Misleading information,Automatically generated report description,2024-09-01,,,341,5188
471,Offensive language,Automatically generated report description,2024-03-02,,,245,8819
472,Spam,Automatically generated report description,2024-02-12,Approved,2025-02-25,255,8596
473,Harassment,Automatically generated report description,2024-08-01,Approved,2025-01-30,232,18169
474,Spam,Automatically generated report description,2024-01-14,Approved,2025-03-20,85,7602
475,Spam,Automatically generated report description,2024-02-04,Rejected,2025-01-25,355,15213
476,Harassment,Automatically generated report description,2024-09-16,Rejected,2025-03-05,153,18123
477,Misleading information,Automatically generated report description,2025-01-07,Approved,2025-02-17,230,6890
478,Harassment,Automatically generated report description,2024-04-20,Rejected,2025-03-01,377,17442
479,Irrelevant content,Automatically generated report description,2024-10-08,Rejected,2025-02-24,476,15792
480,Offensive language,Automatically generated report description,2025-01-30,,,124,12325
481,Misleading information,Automatically generated report description,2024-07-02,Approved,2025-03-03,92,677
482,Harassment,Automatically generated report description,2024-01-22,Rejected,2025-01-09,481,13059
483,Spam,Automatically generated report description,2024-06-02,,,40,16279
484,Irrelevant content,Automatically generated report description,2024-05-16,Approved,2025-01-09,467,2375
485,Spam,Automatically generated report description,2024-02-27,Approved,2025-02-10,157,3216
486,Misleading information,Automatically generated report description,2024-11-06,Rejected,2025-02-11,276,2298
487,Spam,Automatically generated report description,2024-10-31,Rejected,2025-02-05,460,1029
488,Misleading information,Automatically generated report description,2024-05-21,Rejected,2025-03-01,454,5231
489,Misleading information,Automatically generated report description,2025-01-19,Rejected,2025-03-21,213,16317
490,Irrelevant content,Automatically generated report description,2024-02-05,Rejected,2025-01-10,437,19799
491,Harassment,Automatically generated report description,2025-01-24,Approved,2025-03-23,348,6982
492,Offensive language,Automatically generated report description,2024-06-23,Rejected,2025-02-21,407,6022
493,Irrelevant content,Automatically generated report description,2024-08-21,Rejected,2025-03-11,108,17264
494,Spam,Automatically generated report description,2024-09-30,,,270,3157
495,Harassment,Automatically generated report description,2024-10-09,Approved,2025-01-14,287,15263
496,Offensive language,Automatically generated report description,2024-11-02,Rejected,2025-03-27,88,4936
497,Offensive language,Automatically generated report description,2024-06-04,Approved,2025-04-01,235,8770
498,Misleading information,Automatically generated report description,2024-09-14,Approved,2025-03-06,89,6752
499,Misleading information,Automatically generated report description,2024-03-03,Approved,2025-01-21,313,10649
500,Spam,Automatically generated report description,2024-10-05,Rejected,2025-02-11,200,4698
